restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,norm_rating,norm_price,norm_delivery_time,Score
17 Degrees Hotel,4.1,150,41,0,1,0,0,0,0,Dhanbad,0.6799999999999997,0.8227848101265822,0.8097826086956522,0.7474917446340119
17 Sector,4.3,100,34,0,0,0,0,0,0,Jalandhar,0.7599999999999998,0.8860759493670886,0.8478260869565217,0.8115630159603742
18 Degree Icecream Zone,4.3,200,23,0,0,0,0,0,0,Trichy,0.7599999999999998,0.759493670886076,0.907608695652174,0.8041813428728674
1857 City Cafe,4.1,100,30,0,1,1,0,0,0,Meerut,0.6799999999999997,0.8860759493670886,0.8695652173913043,0.778084755090809
19 Mini Pancakes,4.1,100,37,0,0,0,0,0,0,Puducherry,0.6799999999999997,0.8860759493670886,0.8315217391304348,0.7666717116125481
1944 -The HOCCO Kitchen,4.2,150,28,0,1,1,0,0,0,Ajmer,0.72,0.8227848101265822,0.8804347826086957,0.7886873968079251
1944 -The HOCCO Kitchen,4.3,100,23,0,1,1,0,0,0,Ahmedabad,0.7599999999999998,0.8860759493670886,0.907608695652174,0.8294977985690699
1947,4.4,200,48,0,1,0,1,1,0,Bangalore,0.8,0.759493670886076,0.7717391304347826,0.7834204733076501
1947 Food Nation,3.6,150,40,1,0,0,0,0,0,Nellore,0.48,0.8227848101265822,0.8152173913043479,0.6491221794166208
1947 Restaurant,3.3,100,17,1,1,0,0,0,0,Moradabad,0.3599999999999999,0.8860759493670886,0.9402173913043478,0.639280407264722
1952 A Food Story,4.1,150,28,0,1,0,0,0,0,Jodhpur,0.6799999999999997,0.8227848101265822,0.8804347826086957,0.768687396807925
1968 Veg Restaurant - Hotel Manorama,3.8,250,27,1,1,0,0,1,0,Vijayawada,0.5599999999999998,0.6962025316455696,0.8858695652173914,0.6850013758943312
1989 Milkshakes,4.2,100,37,0,0,1,0,0,0,Hyderabad,0.72,0.8860759493670886,0.8315217391304348,0.7866717116125481
1989 Pizza & Thick Shake's,4.0,200,41,0,0,1,0,0,0,Hyderabad,0.6399999999999999,0.759493670886076,0.8097826086956522,0.7148335167859109
1C Dining,3.8,100,43,1,1,0,0,1,0,Coimbatore,0.5599999999999998,0.8860759493670886,0.7989130434782609,0.696889102916896
